file_path,file_name,task_name,task_type,Task,Command,Py_File_Name,Container Job Name
D:\Airflow_Dag_Automation\Input_Code\ISF\17610\app08649-insights-v2\dags\ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,livy_store_inbound_carton_load_v1_load_01_kafka,LivyOperator,"('livy_store_inbound_carton_load_v1_load_01_kafka', 'LivyOperator', '\n    task_id=\'store_inbound_carton_load_v1_load_01_kafka\',\n    app_file=""s3a://napstoreinvtry-prod-common-etl/apps/etl_framework/prod/jars/uber-onehop-etl-pipeline-2.1.0.jar"",\n    conn_id=\'TECH_ISF_NAPSTORINVTRY_LIVY_PROD\',\n    class_name=""com.nordstrom.nap.onehop.etl.app.ExecSQLWrapper"",\n    app_args=[\'@s3://napstoreinvtry-prod-common-etl/apps/etl_framework/airflow_nsk_dag_job_artifacts/prod/17610/DAS_SC_OUTBOUND/APP08649_insights_v2/user_config/argument_ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2_store_inbound_carton_load_v1_load_01_kafka.json\', \'--aws_user_role_external_id\', Variable.get(\'aws_role_externalid\')],\n    driver_memory=\'9g\',\n    driver_cores=2,\n    executor_memory=\'6g\',\n    executor_cores=5,\n    num_executors=6,\n    session_name=\'ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2_store_inbound_carton_load_v1_load_01_kafka_\'+CURRENT_TIMESTAMP.strftime(\'%Y%m%d_%H%M%S\'),\n    spark_conf={\'spark.sql.legacy.avro.datetimeRebaseModeInWrite\': \'LEGACY\', \'spark.sql.legacy.parquet.datetimeRebaseModeInWrite\': \'LEGACY\', \'spark.yarn.maxAppAttempts\': \'1\', \'spark.speculation\': \'false\', \'spark.airflow.run_id\': \'{{ ts_nodash }}\'}')","[""\\'@s3://napstoreinvtry-prod-common-etl/apps/etl_framework/airflow_nsk_dag_job_artifacts/prod/17610/DAS_SC_OUTBOUND/APP08649_insights_v2/user_config/argument_ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2_store_inbound_carton_load_v1_load_01_kafka.json\\'"", ""\\'--aws_user_role_external_id\\'"", ""Variable.get(\\'aws_role_externalid\\')""]",,
D:\Airflow_Dag_Automation\Input_Code\ISF\17610\app08649-insights-v2\dags\ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,livy_store_inbound_carton_load_v1_load_01_kafka_sensor,LivySensor,"('livy_store_inbound_carton_load_v1_load_01_kafka_sensor', 'LivySensor', '\n    conn_id=\'TECH_ISF_NAPSTORINVTRY_LIVY_PROD\',\n    task_id=\'store_inbound_carton_load_v1_load_01_kafka_sensor\',\n    batch_id=""{{ task_instance.xcom_pull(task_ids=\'store_inbound_carton_load_v1_load_01_kafka\') }}""')",,,
D:\Airflow_Dag_Automation\Input_Code\ISF\17610\app08649-insights-v2\dags\ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,launch_store_inbound_carton_load_v1_load_02_start_batch,launch_k8s_api_job_operator,"('launch_store_inbound_carton_load_v1_load_02_start_batch', 'launch_k8s_api_job_operator', ""\n    dag=dag,\n    connection_id='TECH_ISF_NAPSTORINVTRY_K8S_GUMBO_CONN_PROD',\n    namespace='app08649',\n    task_id='store_inbound_carton_load_v1_load_02_start_batch',\n    job_name='store-inbound-carton-load-v1-load-02-start-batch-ascp-store-inb',\n    macros=None,\n    container_image='artifactory.nordstrom.com/docker/app08499/insights-framework/etl-executor:0.4.1',\n    container_command=['python', '/home/nonroot/etl_executor/main.py', '--sql_files', 'apps/etl_framework/airflow_nsk_dag_job_artifacts/prod/17610/DAS_SC_OUTBOUND/APP08649_insights_v2/sql/ascp_store_inbound_carton/ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2_store_inbound_carton_load_v1_start_batch.sql', '--bucket', 'napstoreinvtry-prod-common-etl', '--executor', 'teradata', '--host', 'tdnapprod.nordstrom.net', '--database', 'PRD_NAP_FCT', '--vault_path', 'data/application/APP08649/shared/prod/teradata/nap/service_account', '--vault_host', 'https://prod-vault.vault.vip.nordstrom.com:8200', '--mount_point', 'nordsecrets'],\n    resources={'limits': {'cpu': 5, 'memory': '6Gi' },'requests': {'cpu': 3, 'memory': '2Gi'}},\n    common_envs=[],\n    task_envs=[{'name': 'TIER', 'value': '3'}, {'name': 'STATSD_HOST', 'value': 'gostatsd.kube-system.svc.cluster.local'}, {'name': 'STATSD_PORT', 'value': '8128'}, {'name': 'APP_ID', 'value': 'APP08649'}, {'name': 'NEW_RELIC_APP_NAME', 'value': 'APP08649-insights-v2-APP08649-PROD'}, {'name': 'ENV', 'value': 'PROD'}, {'name': 'VAULT_ROLE_ID', 'valueFrom': {'secretKeyRef': {'key': 'roleid', 'name': 'vault'}}}, {'name': 'VAULT_SECRET', 'valueFrom': {'secretKeyRef': {'key': 'secret', 'name': 'vault'}}}, {'name': 'DAG_ID', 'value': 'ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2'}],\n    metadata={'annotations': {'kube2iam.beta.nordstrom.net/role': 'arn:aws:iam::483375294780:role/napstorinvtry-k8s-controlled-prod'}, 'labels': {'nap_domain': 'onehop-etl', 'nap_project': 'insights-framework', 'customer_team_name': 'DAS_SC_OUTBOUND', 'customer_project_name': 'APP08649_insights_v2'}},\n    startup_timeout=300,\n    retries=3,\n    service_account_name='napstorinvtry-insights',\n    nsk_cluster='nsk-gumbo-prod'"")","container_command=['python', '/home/nonroot/etl_executor/main.py', '--sql_files', 'apps/etl_framework/airflow_nsk_dag_job_artifacts/prod/17610/DAS_SC_OUTBOUND/APP08649_insights_v2/sql/ascp_store_inbound_carton/ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2_store_inbound_carton_load_v1_start_batch.sql', '--bucket', 'napstoreinvtry-prod-common-etl', '--executor', 'teradata', '--host', 'tdnapprod.nordstrom.net', '--database', 'PRD_NAP_FCT', '--vault_path', 'data/application/APP08649/shared/prod/teradata/nap/service_account', '--vault_host', 'https://prod-vault.vault.vip.nordstrom.com:8200', '--mount_point', 'nordsecrets']",/home/nonroot/etl_executor/main.py,etl-executor
D:\Airflow_Dag_Automation\Input_Code\ISF\17610\app08649-insights-v2\dags\ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,launch_store_inbound_carton_load_v1_load_02_start_batch_sensor,monitor_k8s_api_job_status,"('launch_store_inbound_carton_load_v1_load_02_start_batch_sensor', 'monitor_k8s_api_job_status', ""\n    dag=dag,\n    connection_id='TECH_ISF_NAPSTORINVTRY_K8S_GUMBO_CONN_PROD',\n    namespace='app08649',\n    task_id='store_inbound_carton_load_v1_load_02_start_batch_sensor',\n    poke_interval=100,\n    time_out=1800,\n    job_name='store-inbound-carton-load-v1-load-02-start-batch-ascp-store-inb',\n    nsk_cluster='nsk-gumbo-prod'"")",,,
D:\Airflow_Dag_Automation\Input_Code\ISF\17610\app08649-insights-v2\dags\ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,launch_store_inbound_carton_load_v1_load_03_teradata,launch_k8s_api_job_operator,"('launch_store_inbound_carton_load_v1_load_03_teradata', 'launch_k8s_api_job_operator', ""\n    dag=dag,\n    connection_id='TECH_ISF_NAPSTORINVTRY_K8S_GUMBO_CONN_PROD',\n    namespace='app08649',\n    task_id='store_inbound_carton_load_v1_load_03_teradata',\n    job_name='store-inbound-carton-load-v1-load-03-teradata-ascp-store-inboun',\n    macros=None,\n    container_image='artifactory.nordstrom.com/docker/app08499/insights-framework/etl-executor:0.4.1',\n    container_command=['python', '/home/nonroot/etl_executor/main.py', '--sql_files', 'apps/etl_framework/airflow_nsk_dag_job_artifacts/prod/17610/DAS_SC_OUTBOUND/APP08649_insights_v2/sql/ascp_store_inbound_carton/ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2_store_inbound_carton_load_v1_store_inbound_carton_load_fact_table.sql', '--bucket', 'napstoreinvtry-prod-common-etl', '--executor', 'teradata', '--host', 'tdnapprod.nordstrom.net', '--database', 'PRD_NAP_FCT', '--vault_path', 'data/application/APP08649/shared/prod/teradata/nap/service_account', '--vault_host', 'https://prod-vault.vault.vip.nordstrom.com:8200', '--mount_point', 'nordsecrets'],\n    resources={'limits': {'cpu': 5, 'memory': '6Gi' },'requests': {'cpu': 3, 'memory': '2Gi'}},\n    common_envs=[],\n    task_envs=[{'name': 'TIER', 'value': '3'}, {'name': 'STATSD_HOST', 'value': 'gostatsd.kube-system.svc.cluster.local'}, {'name': 'STATSD_PORT', 'value': '8128'}, {'name': 'APP_ID', 'value': 'APP08649'}, {'name': 'NEW_RELIC_APP_NAME', 'value': 'APP08649-insights-v2-APP08649-PROD'}, {'name': 'ENV', 'value': 'PROD'}, {'name': 'VAULT_ROLE_ID', 'valueFrom': {'secretKeyRef': {'key': 'roleid', 'name': 'vault'}}}, {'name': 'VAULT_SECRET', 'valueFrom': {'secretKeyRef': {'key': 'secret', 'name': 'vault'}}}, {'name': 'DAG_ID', 'value': 'ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2'}],\n    metadata={'annotations': {'kube2iam.beta.nordstrom.net/role': 'arn:aws:iam::483375294780:role/napstorinvtry-k8s-controlled-prod'}, 'labels': {'nap_domain': 'onehop-etl', 'nap_project': 'insights-framework', 'customer_team_name': 'DAS_SC_OUTBOUND', 'customer_project_name': 'APP08649_insights_v2'}},\n    startup_timeout=300,\n    retries=3,\n    service_account_name='napstorinvtry-insights',\n    nsk_cluster='nsk-gumbo-prod'"")","container_command=['python', '/home/nonroot/etl_executor/main.py', '--sql_files', 'apps/etl_framework/airflow_nsk_dag_job_artifacts/prod/17610/DAS_SC_OUTBOUND/APP08649_insights_v2/sql/ascp_store_inbound_carton/ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2_store_inbound_carton_load_v1_store_inbound_carton_load_fact_table.sql', '--bucket', 'napstoreinvtry-prod-common-etl', '--executor', 'teradata', '--host', 'tdnapprod.nordstrom.net', '--database', 'PRD_NAP_FCT', '--vault_path', 'data/application/APP08649/shared/prod/teradata/nap/service_account', '--vault_host', 'https://prod-vault.vault.vip.nordstrom.com:8200', '--mount_point', 'nordsecrets']",/home/nonroot/etl_executor/main.py,etl-executor
D:\Airflow_Dag_Automation\Input_Code\ISF\17610\app08649-insights-v2\dags\ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,launch_store_inbound_carton_load_v1_load_03_teradata_sensor,monitor_k8s_api_job_status,"('launch_store_inbound_carton_load_v1_load_03_teradata_sensor', 'monitor_k8s_api_job_status', ""\n    dag=dag,\n    connection_id='TECH_ISF_NAPSTORINVTRY_K8S_GUMBO_CONN_PROD',\n    namespace='app08649',\n    task_id='store_inbound_carton_load_v1_load_03_teradata_sensor',\n    poke_interval=100,\n    time_out=1800,\n    job_name='store-inbound-carton-load-v1-load-03-teradata-ascp-store-inboun',\n    nsk_cluster='nsk-gumbo-prod'"")",,,
D:\Airflow_Dag_Automation\Input_Code\ISF\17610\app08649-insights-v2\dags\ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,launch_store_inbound_carton_load_v1_load_031_teradata_fact_dqc,launch_k8s_api_job_operator,"('launch_store_inbound_carton_load_v1_load_031_teradata_fact_dqc', 'launch_k8s_api_job_operator', ""\n    dag=dag,\n    connection_id='TECH_ISF_NAPSTORINVTRY_K8S_GUMBO_CONN_PROD',\n    namespace='app08649',\n    task_id='store_inbound_carton_load_v1_load_031_teradata_fact_dqc',\n    job_name='store-inbound-carton-load-v1-load-031-teradata-fact-dqc-ascp-st',\n    macros=None,\n    container_image='artifactory.nordstrom.com/docker/app08499/insights-framework/etl-executor:0.4.1',\n    container_command=['python', '/home/nonroot/etl_executor/main.py', '--sql_files', 'apps/etl_framework/airflow_nsk_dag_job_artifacts/prod/17610/DAS_SC_OUTBOUND/APP08649_insights_v2/sql/ascp_store_inbound_carton/ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2_store_inbound_carton_load_v1_td_fact_dqc.sql', '--bucket', 'napstoreinvtry-prod-common-etl', '--executor', 'teradata', '--host', 'tdnapprod.nordstrom.net', '--database', 'PRD_NAP_FCT', '--vault_path', 'data/application/APP08649/shared/prod/teradata/nap/service_account', '--vault_host', 'https://prod-vault.vault.vip.nordstrom.com:8200', '--mount_point', 'nordsecrets'],\n    resources={'limits': {'cpu': 5, 'memory': '6Gi' },'requests': {'cpu': 3, 'memory': '2Gi'}},\n    common_envs=[],\n    task_envs=[{'name': 'TIER', 'value': '3'}, {'name': 'STATSD_HOST', 'value': 'gostatsd.kube-system.svc.cluster.local'}, {'name': 'STATSD_PORT', 'value': '8128'}, {'name': 'APP_ID', 'value': 'APP08649'}, {'name': 'NEW_RELIC_APP_NAME', 'value': 'APP08649-insights-v2-APP08649-PROD'}, {'name': 'ENV', 'value': 'PROD'}, {'name': 'VAULT_ROLE_ID', 'valueFrom': {'secretKeyRef': {'key': 'roleid', 'name': 'vault'}}}, {'name': 'VAULT_SECRET', 'valueFrom': {'secretKeyRef': {'key': 'secret', 'name': 'vault'}}}, {'name': 'DAG_ID', 'value': 'ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2'}],\n    metadata={'annotations': {'kube2iam.beta.nordstrom.net/role': 'arn:aws:iam::483375294780:role/napstorinvtry-k8s-controlled-prod'}, 'labels': {'nap_domain': 'onehop-etl', 'nap_project': 'insights-framework', 'customer_team_name': 'DAS_SC_OUTBOUND', 'customer_project_name': 'APP08649_insights_v2'}},\n    startup_timeout=300,\n    retries=0,\n    service_account_name='napstorinvtry-insights',\n    nsk_cluster='nsk-gumbo-prod'"")","container_command=['python', '/home/nonroot/etl_executor/main.py', '--sql_files', 'apps/etl_framework/airflow_nsk_dag_job_artifacts/prod/17610/DAS_SC_OUTBOUND/APP08649_insights_v2/sql/ascp_store_inbound_carton/ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2_store_inbound_carton_load_v1_td_fact_dqc.sql', '--bucket', 'napstoreinvtry-prod-common-etl', '--executor', 'teradata', '--host', 'tdnapprod.nordstrom.net', '--database', 'PRD_NAP_FCT', '--vault_path', 'data/application/APP08649/shared/prod/teradata/nap/service_account', '--vault_host', 'https://prod-vault.vault.vip.nordstrom.com:8200', '--mount_point', 'nordsecrets']",/home/nonroot/etl_executor/main.py,etl-executor
D:\Airflow_Dag_Automation\Input_Code\ISF\17610\app08649-insights-v2\dags\ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,launch_store_inbound_carton_load_v1_load_031_teradata_fact_dqc_sensor,monitor_k8s_api_job_status,"('launch_store_inbound_carton_load_v1_load_031_teradata_fact_dqc_sensor', 'monitor_k8s_api_job_status', ""\n    dag=dag,\n    connection_id='TECH_ISF_NAPSTORINVTRY_K8S_GUMBO_CONN_PROD',\n    namespace='app08649',\n    task_id='store_inbound_carton_load_v1_load_031_teradata_fact_dqc_sensor',\n    poke_interval=100,\n    time_out=1800,\n    job_name='store-inbound-carton-load-v1-load-031-teradata-fact-dqc-ascp-st',\n    nsk_cluster='nsk-gumbo-prod'"")",,,
D:\Airflow_Dag_Automation\Input_Code\ISF\17610\app08649-insights-v2\dags\ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,launch_store_inbound_carton_load_v1_load_04_end_batch,launch_k8s_api_job_operator,"('launch_store_inbound_carton_load_v1_load_04_end_batch', 'launch_k8s_api_job_operator', ""\n    dag=dag,\n    connection_id='TECH_ISF_NAPSTORINVTRY_K8S_GUMBO_CONN_PROD',\n    namespace='app08649',\n    task_id='store_inbound_carton_load_v1_load_04_end_batch',\n    job_name='store-inbound-carton-load-v1-load-04-end-batch-ascp-store-inbou',\n    macros=None,\n    container_image='artifactory.nordstrom.com/docker/app08499/insights-framework/etl-executor:0.4.1',\n    container_command=['python', '/home/nonroot/etl_executor/main.py', '--sql_files', 'apps/etl_framework/airflow_nsk_dag_job_artifacts/prod/17610/DAS_SC_OUTBOUND/APP08649_insights_v2/sql/ascp_store_inbound_carton/ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2_store_inbound_carton_load_v1_end_batch.sql', '--bucket', 'napstoreinvtry-prod-common-etl', '--executor', 'teradata', '--host', 'tdnapprod.nordstrom.net', '--database', 'PRD_NAP_FCT', '--vault_path', 'data/application/APP08649/shared/prod/teradata/nap/service_account', '--vault_host', 'https://prod-vault.vault.vip.nordstrom.com:8200', '--mount_point', 'nordsecrets'],\n    resources={'limits': {'cpu': 5, 'memory': '6Gi' },'requests': {'cpu': 3, 'memory': '2Gi'}},\n    common_envs=[],\n    task_envs=[{'name': 'TIER', 'value': '3'}, {'name': 'STATSD_HOST', 'value': 'gostatsd.kube-system.svc.cluster.local'}, {'name': 'STATSD_PORT', 'value': '8128'}, {'name': 'APP_ID', 'value': 'APP08649'}, {'name': 'NEW_RELIC_APP_NAME', 'value': 'APP08649-insights-v2-APP08649-PROD'}, {'name': 'ENV', 'value': 'PROD'}, {'name': 'VAULT_ROLE_ID', 'valueFrom': {'secretKeyRef': {'key': 'roleid', 'name': 'vault'}}}, {'name': 'VAULT_SECRET', 'valueFrom': {'secretKeyRef': {'key': 'secret', 'name': 'vault'}}}, {'name': 'DAG_ID', 'value': 'ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2'}],\n    metadata={'annotations': {'kube2iam.beta.nordstrom.net/role': 'arn:aws:iam::483375294780:role/napstorinvtry-k8s-controlled-prod'}, 'labels': {'nap_domain': 'onehop-etl', 'nap_project': 'insights-framework', 'customer_team_name': 'DAS_SC_OUTBOUND', 'customer_project_name': 'APP08649_insights_v2'}},\n    startup_timeout=300,\n    retries=3,\n    service_account_name='napstorinvtry-insights',\n    nsk_cluster='nsk-gumbo-prod'"")","container_command=['python', '/home/nonroot/etl_executor/main.py', '--sql_files', 'apps/etl_framework/airflow_nsk_dag_job_artifacts/prod/17610/DAS_SC_OUTBOUND/APP08649_insights_v2/sql/ascp_store_inbound_carton/ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2_store_inbound_carton_load_v1_end_batch.sql', '--bucket', 'napstoreinvtry-prod-common-etl', '--executor', 'teradata', '--host', 'tdnapprod.nordstrom.net', '--database', 'PRD_NAP_FCT', '--vault_path', 'data/application/APP08649/shared/prod/teradata/nap/service_account', '--vault_host', 'https://prod-vault.vault.vip.nordstrom.com:8200', '--mount_point', 'nordsecrets']",/home/nonroot/etl_executor/main.py,etl-executor
D:\Airflow_Dag_Automation\Input_Code\ISF\17610\app08649-insights-v2\dags\ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,ascp_store_inbound_carton_from_kafka_to_teradata_17610_DAS_SC_OUTBOUND_APP08649_insights_v2.py,launch_store_inbound_carton_load_v1_load_04_end_batch_sensor,monitor_k8s_api_job_status,"('launch_store_inbound_carton_load_v1_load_04_end_batch_sensor', 'monitor_k8s_api_job_status', ""\n    dag=dag,\n    connection_id='TECH_ISF_NAPSTORINVTRY_K8S_GUMBO_CONN_PROD',\n    namespace='app08649',\n    task_id='store_inbound_carton_load_v1_load_04_end_batch_sensor',\n    poke_interval=100,\n    time_out=1800,\n    job_name='store-inbound-carton-load-v1-load-04-end-batch-ascp-store-inbou',\n    nsk_cluster='nsk-gumbo-prod'"")",,,
